logs_name,dataset_id,score
AsynchronousSuccessiveHalving,3,-0.1004290770911031
AsynchronousSuccessiveHalving,4,-0.440720112426924
AsynchronousSuccessiveHalving,6,-0.1301593007457853
AsynchronousSuccessiveHalving,8,-0.3807043835336944
AsynchronousSuccessiveHalving,19,-0.5557034253818508
AsynchronousSuccessiveHalving,21,-0.9290295200441598
AsynchronousSuccessiveHalving,24,-0.1408052063403321
AsynchronousSuccessiveHalving,25,-0.0184666075377894
AsynchronousSuccessiveHalving,26,-1.7488814183357124
AsynchronousSuccessiveHalving,27,-0.297591391915455
AsynchronousSuccessiveHalving,28,-0.1838413697332203
AsynchronousSuccessiveHalving,29,-0.2451339317227712
AsynchronousSuccessiveHalving,30,-0.4465599573781905
AsynchronousSuccessiveHalving,31,-0.389387559433825
AsynchronousSuccessiveHalving,32,-0.3544527191990674
AsynchronousSuccessiveHalving,33,-0.1975810874735099
AsynchronousSuccessiveHalving,35,-0.4424410558113675
AsynchronousSuccessiveHalving,39,-0.2144568590109129
AsynchronousSuccessiveHalving,42,-0.3835405103632012
AsynchronousSuccessiveHalving,43,-0.1357895733112867
AsynchronousSuccessiveHalving,45,-0.1455352046845575
AsynchronousSuccessiveHalving,46,-1.2482366844008497
AsynchronousSuccessiveHalving,47,-2.220446049250313e-16
AsynchronousSuccessiveHalving,49,-0.0873179774775469
AsynchronousSuccessiveHalving,52,-1.2734744805985696
AsynchronousSuccessiveHalving,53,-0.1323823648106012
AsynchronousSuccessiveHalving,56,-0.13187729953085
AsynchronousSuccessiveHalving,58,-1.5543122344752201e-15
AsynchronousSuccessiveHalving,59,-0.1226086848045188
AsynchronousSuccessiveHalving,60,-0.0406967841825152
AsynchronousSuccessiveHalving,63,-0.4404865363522168
AsynchronousSuccessiveHalving,64,-0.7137365545419675
AsynchronousSuccessiveHalving,65,-0.2008809808425791
AsynchronousSuccessiveHalving,66,-0.6921391222013423
AsynchronousSuccessiveHalving,67,-3.602562823791632
AsynchronousSuccessiveHalving,68,-2.115928199784241
AsynchronousSuccessiveHalving,70,-0.1576382488964552
AsynchronousSuccessiveHalving,71,-0.6604117817368035
RandomSearch,3,-0.1010074956186223
RandomSearch,4,-0.4542275663768393
RandomSearch,6,-0.1480073623669179
RandomSearch,8,-0.4270291871477599
RandomSearch,19,-0.5333863543764094
RandomSearch,21,-0.9337189790799972
RandomSearch,24,-0.152817670942094
RandomSearch,25,-0.0144517590554283
RandomSearch,26,-1.7460155916364055
RandomSearch,27,-0.2849560271385828
RandomSearch,28,-0.1866961829895032
RandomSearch,29,-0.247887918587752
RandomSearch,30,-0.4463570556958384
RandomSearch,31,-0.3864089304226245
RandomSearch,32,-0.355511098994676
RandomSearch,33,-0.1968930064230544
RandomSearch,35,-0.4502711608280183
RandomSearch,39,-0.226382077370041
RandomSearch,42,-0.3773567635717693
RandomSearch,43,-0.148075574129671
RandomSearch,45,-0.1727532133762516
RandomSearch,46,-1.2554014319100473
RandomSearch,47,-2.220446049250313e-16
RandomSearch,49,-0.0902706426366384
RandomSearch,52,-1.264774172699726
RandomSearch,53,-0.167169392346707
RandomSearch,56,-0.1331461055419753
RandomSearch,58,-1.5543122344752201e-15
RandomSearch,59,-0.1241329760915707
RandomSearch,60,-0.0405486825822373
RandomSearch,63,-0.8004695400710915
RandomSearch,64,-0.6995046166138577
RandomSearch,65,-0.2106241930539862
RandomSearch,66,-0.691626567448127
RandomSearch,67,-3.1363626671443376
RandomSearch,68,-2.5822346444565127
RandomSearch,70,-0.1607427799978562
RandomSearch,71,-0.6527380246833726
AsyncEA,3,-0.1010074955341978
AsyncEA,4,-0.3928420329197977
AsyncEA,6,-0.1385570843206056
AsyncEA,8,-0.3561252718141299
AsyncEA,19,-0.520236983453162
AsyncEA,21,-0.9318500671789494
AsyncEA,24,-0.1390504796265851
AsyncEA,25,-0.008699625647629
AsyncEA,26,-1.742273994507443
AsyncEA,27,-0.2936926709096102
AsyncEA,28,-0.1784882154007256
AsyncEA,29,-0.2424673327365675
AsyncEA,30,-0.4449991558023073
AsyncEA,31,-0.3902700739173926
AsyncEA,32,-0.3527738798626891
AsyncEA,33,-0.194749669047711
AsyncEA,35,-0.4402464962708648
AsyncEA,39,-0.2254531081192221
AsyncEA,42,-0.3556391937793344
AsyncEA,43,-0.1319271377174826
AsyncEA,45,-0.1455352046845575
AsyncEA,46,-1.250191159710686
AsyncEA,47,-1.0883466786865533e-07
AsyncEA,49,-0.0924590757664784
AsyncEA,52,-1.261575426593241
AsyncEA,53,-0.1389131752406349
AsyncEA,56,-0.1275702572695359
AsyncEA,58,-1.5543122344752201e-15
AsyncEA,59,-0.1245780321713367
AsyncEA,60,-0.0394426028812364
AsyncEA,63,-0.7867892176641349
AsyncEA,64,-0.673828082856239
AsyncEA,65,-0.2000668753698516
AsyncEA,66,-0.6915922124853366
AsyncEA,67,-2.888627093535156
AsyncEA,68,-2.164498081514989
AsyncEA,70,-0.1518130085252981
AsyncEA,71,-0.658837607965818
