id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
8f396ae5-a5a6-436b-bdcd-e38c973b7f24;11504;2023-07-03 17:21:52,384405;2.1030681133270264;3.75;(-1.4879275107397143, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
7afdc025-babd-4d58-92b5-286d825a4bc6;16628;2023-07-03 17:21:52,385405;2.2270963191986084;2.796875;(-1.458108497645638, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
28335329-ab56-45ba-b730-e5a0e7876bca;20272;2023-07-03 17:21:52,383404;2.3676719665527344;3.609375;(-1.463514673010752, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
c8949425-a940-4db0-b841-bd59b713f495;16628;2023-07-03 17:21:54,614501;0.5371699333190918;1.046875;(-1.5838188537850983, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
bbe786f6-afd3-4ad3-bf1b-21bafe6749d4;20272;2023-07-03 17:21:54,753076;4.857503890991211;10.578125;(-1.4612250905698665, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
ec8605c9-a5a6-4daf-84fb-b11c0d1c16ef;20272;2023-07-03 17:21:59,612581;0.024005413055419922;0.09375;(-inf, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);<class 'ValueError'> Negative values in data passed to MultinomialNB (input X);;;unknown
7ade4483-6d71-4006-a97d-e93b6c4e8a2c;18672;2023-07-03 17:21:52,384405;7.950542449951172;7.75;(-1.4933096439752955, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
8b42ab3a-5e96-4891-ae00-031b3e09ace8;19772;2023-07-03 17:21:52,384405;8.526376008987427;8.453125;(-1.2183335658535632, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
e12a3f12-295a-450e-8989-8b3d93b1bd7c;18672;2023-07-03 17:22:00,463977;2.0352025032043457;1.984375;(-1.3122068467438723, -3);ExtraTreesClassifier(SelectPercentile(RobustScaler(data), SelectPercentile.percentile=39, SelectPercentile.score_func=f_classif), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.7500000000000001, min_samples_leaf=19, min_samples_split=18, ExtraTreesClassifier.n_estimators=100);None;;;unknown
b9d479c4-4ebc-480f-8c91-d3f7860de680;18672;2023-07-03 17:22:02,539188;1.674410343170166;4.984375;(-1.4837777520038817, -3);LogisticRegression(SelectFwe(PCA(data, PCA.iterated_power=2, PCA.svd_solver='randomized'), SelectFwe.alpha=0.019, SelectFwe.score_func=f_classif), LogisticRegression.C=15.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
f75edd00-5b5a-4efd-909e-c4b0d32af255;18672;2023-07-03 17:22:04,217600;1.9229674339294434;5.046875;(-1.302349446067043, -2);ExtraTreesClassifier(Nystroem(data, Nystroem.gamma=0.4, Nystroem.kernel='linear', Nystroem.n_components=9), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.6500000000000001, min_samples_leaf=11, min_samples_split=17, ExtraTreesClassifier.n_estimators=100);None;;;unknown
2669b5f2-d7b1-478f-9369-04fe6dd8a4f5;6884;2023-07-03 17:21:52,384405;13.486100912094116;14.546875;(-3.03385649479636, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
3380fa0f-2c02-48f1-8f7a-aa2fdbea09ce;18672;2023-07-03 17:22:06,202581;2.1795923709869385;5.921875;(-1.662043627476787, -3);DecisionTreeClassifier(MinMaxScaler(FastICA(data, FastICA.tol=0.75, FastICA.whiten='unit-variance')), DecisionTreeClassifier.criterion='entropy', DecisionTreeClassifier.max_depth=4, min_samples_leaf=6, min_samples_split=3);None;;;unknown
5bed1580-9062-475c-b22b-3f9d85078900;18672;2023-07-03 17:22:08,388175;0.2805666923522949;1.03125;(-3.7622703814096026, -2);BernoulliNB(RobustScaler(data), alpha=0.1, fit_prior=False);None;;;unknown
5d94b8a5-ae90-424d-89fe-352688e7d63d;6884;2023-07-03 17:22:06,190578;6.411113023757935;6.203125;(-1.2634687473674582, -3);ExtraTreesClassifier(SelectFwe(SelectFwe(data, SelectFwe.alpha=0.047, SelectFwe.score_func=f_classif), SelectFwe.alpha=0.034, SelectFwe.score_func=f_classif), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=1.0, min_samples_leaf=6, min_samples_split=3, ExtraTreesClassifier.n_estimators=100);None;;;unknown
af96bdc2-f5a9-4316-99e9-9153aab3cbc9;6884;2023-07-03 17:22:12,777731;0.165543794631958;0.375;(-3.683564221895665, -1);BernoulliNB(data, alpha=0.1, fit_prior=False);None;;;unknown
