id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
1cd169e2-4f28-4aa3-a99d-6425f5cd95d8;19960;2023-07-06 04:00:25,018966;0.5921578407287598;0.84375;(-0.30452578389117957, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
112185f0-9a13-48c9-b7f6-13cc916551e8;16192;2023-07-06 04:00:25,017965;1.1377873420715332;1.453125;(-0.4741427110504789, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
ca6b41ce-ee62-4f43-823a-c766b4b435e2;18876;2023-07-06 04:00:25,018966;1.9874837398529053;3.078125;(-0.11770913197567459, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
27263d37-aa65-4da1-9df0-9fecd94cf9cc;11076;2023-07-06 04:00:25,018966;2.1055102348327637;2.53125;(-0.274788471331607, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
ba6f6836-85f6-4c55-99cd-1c9f24c30dd0;12108;2023-07-06 04:00:25,018966;3.347853183746338;3.359375;(-0.2420530897897625, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
cd34d623-3bfe-4ff6-8d6a-934dba833f92;3732;2023-07-06 04:00:25,018966;4.789192199707031;4.796875;(-0.08124271784220052, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
32f85102-8293-467c-a932-8fd1e431154e;12108;2023-07-06 04:00:28,497848;4.263500213623047;8.203125;(-1.8133123858119096, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
02ef7d13-921d-458c-a369-beff20d6a176;11076;2023-07-06 04:00:27,126477;9.993380069732666;6.453125;(-0.0743325220541272, -2);ExtraTreesClassifier(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=1.0, min_samples_leaf=2, min_samples_split=5, ExtraTreesClassifier.n_estimators=100);None;;;unknown
2901e9f4-dfcc-4f29-bee7-c6a0bcbdf2f2;18100;2023-07-06 04:00:25,018966;12.56700873374939;7.9375;(-0.06870121269550615, -2);GradientBoostingClassifier(MaxAbsScaler(data), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=7, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=19, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.8500000000000001);None;;;unknown
58b8e316-d3e4-4d05-8ebc-457458876c60;19960;2023-07-06 04:00:25,612123;20.341325759887695;13.203125;(-0.08059970417916917, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=9, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=6, GradientBoostingClassifier.min_samples_split=19, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=1.0);None;;;unknown
