id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
6e8ba47a-0526-4932-946a-6fafa99c829a;17368;2023-07-06 05:02:31,639584;0.802194356918335;0.953125;(-0.3239823369511747, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
ad7ca21a-3813-4a2c-a02f-b46bb4dc27c3;15364;2023-07-06 05:02:31,638584;1.9699630737304688;2.21875;(-0.4898330265378411, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
78bf96f1-00cf-4c67-9940-81fbf5265003;19896;2023-07-06 05:02:31,639584;1.943958044052124;2.5625;(-0.1137688839579782, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
9b437bf1-44f0-49b0-8498-3573ef031e00;11908;2023-07-06 05:02:31,639584;2.3000383377075195;2.390625;(-0.30704233633550665, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
5af1e4f5-2adf-4e1d-914f-0bb20ecfd29b;17392;2023-07-06 05:02:31,639584;3.551825523376465;3.515625;(-0.25656660577023277, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
13cd5e90-e0f4-408e-b435-c54aa0171651;17392;2023-07-06 05:02:35,339443;0.6816587448120117;1.328125;(-1.8124005959718328, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
7083b056-2f6d-41e6-a58b-c52e80b650c6;15364;2023-07-06 05:02:33,610548;3.1082329750061035;4.515625;(-0.36560253359946837, -3);LogisticRegression(Normalizer(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), Normalizer.norm='max'), LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
a6295f1d-cad1-4eb0-b50b-e79283b21031;19404;2023-07-06 05:02:31,639584;5.099201679229736;5.09375;(-0.09105799659528649, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
2f291191-f88a-4ea2-9eca-98d9a454cc37;4224;2023-07-06 05:02:31,639584;5.710843801498413;12.21875;(-1.4821400639910314, -3);LogisticRegression(PolynomialFeatures(RobustScaler(data), PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
1488dd13-b91a-43d0-918d-29c9a70a0a2d;15364;2023-07-06 05:02:36,719781;1.183276653289795;2.46875;(-1.9383980077799041, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
a3eb09b3-ae23-472a-991c-5cfdf4cb063a;11772;2023-07-06 05:02:31,639584;7.61091947555542;7.53125;(-0.0856901142932476, -2);GradientBoostingClassifier(MaxAbsScaler(data), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=7, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=19, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.8500000000000001);None;;;unknown
ca597821-59a4-4bfd-ac35-0e65ec7d618c;11772;2023-07-06 05:02:39,429151;0.009001970291137695;0.0;(-inf, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);<class 'ValueError'> Negative values in data passed to MultinomialNB (input X);;;unknown
