id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
545ebca8-85e3-4b65-8f26-cae50f5146dc;13500;2023-06-28 20:36:33,842388;0.9039368629455566;2.078125;(-0.11525186408526922, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
dea5d528-4daa-4f40-b89b-207b0099d862;11108;2023-06-28 20:36:33,843388;0.9819545745849609;2.484375;(-0.01687106308750206, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
eaeb8315-5a1c-4a31-a11b-0c73c902f406;13648;2023-06-28 20:36:33,843388;3.1069388389587402;3.109375;(-0.06804061513997416, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
f625ab8b-977f-4851-aa0c-b45ce3e1e0a8;15628;2023-06-28 20:36:33,843388;3.4625234603881836;3.1875;(-0.2107792147667802, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
4dd8c2ea-feae-4838-afe5-d27c67b8fad4;11108;2023-06-28 20:36:34,827343;2.557587146759033;5.921875;(-0.6673285291140532, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
83dc05cc-31b9-40d7-81d7-fc6b7e03860e;11108;2023-06-28 20:36:37,385929;0.3960895538330078;0.984375;(-0.9897196936581876, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);None;;;unknown
90d4a744-8ad4-4081-b741-4945a27741e4;7972;2023-06-28 20:36:33,843388;4.304226636886597;5.71875;(-0.15605154533309537, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
62c542ca-9a99-49f9-8c8f-1a35b0a6c195;10384;2023-06-28 20:36:33,843388;4.559283971786499;8.84375;(-0.11086198866208821, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
70f05a2b-94df-4262-8b37-da772414364c;13648;2023-06-28 20:36:36,992336;2.078991413116455;4.15625;(-1.0876069002961088, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
adf722ec-62b0-4785-b507-1fe8b6731d09;13648;2023-06-28 20:36:39,074328;1.115279197692871;5.015625;(-2.2295120940611692, -3);LogisticRegression(SelectFwe(PCA(data, PCA.iterated_power=2, PCA.svd_solver='randomized'), SelectFwe.alpha=0.019, SelectFwe.score_func=f_classif), LogisticRegression.C=15.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
