id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
5f84f36c-61ca-4871-8965-cfe6b6ee48d1;17508;2023-07-04 18:26:06,360207;2.8552093505859375;3.6875;(-0.18112944671505024, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
71482053-8a51-4d36-81d9-3ffdf06be444;9796;2023-07-04 18:26:06,358207;3.1772940158843994;4.671875;(-0.4081647677949222, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
5567c8d9-9e51-42a9-bb23-13444d35bc6e;540;2023-07-04 18:26:06,359207;4.157531976699829;6.296875;(-0.04611572484467741, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
6682fde6-c1df-440e-b0bf-ea51ab6ba32b;19184;2023-07-04 18:26:06,359207;6.486613750457764;6.8125;(-0.13401601550740952, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
06cd0714-c70e-496a-956f-e9deb83f3f48;17160;2023-07-04 18:26:06,360207;13.124783277511597;13.015625;(-9.021274456155217, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
3cd0b785-85bb-4b4d-b6b0-092676dc320d;17160;2023-07-04 18:26:19,645026;1.3728153705596924;1.96875;(-2.1425593682017783, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
0b0ff6e3-9219-4acc-aa50-d9f3f7e37536;14620;2023-07-04 18:26:06,359207;17.470807790756226;17.328125;(-0.08964785398044617, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
c783c563-3e80-4c93-b6a2-570ae1330405;14620;2023-07-04 18:26:24,022059;13.191648721694946;28.9375;(-0.11100649630557202, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
31e026b6-1c2b-4492-b4f7-ea13fb728072;9796;2023-07-04 18:26:09,536501;40.61225199699402;74.046875;(-0.020890026063250626, -3);LogisticRegression(Normalizer(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), Normalizer.norm='max'), LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
e9dfa30a-b15f-4df9-9f24-31636fc20c78;17040;2023-07-04 18:26:06,359207;44.507731199264526;44.109375;(-0.07207537848322047, -2);GradientBoostingClassifier(MaxAbsScaler(data), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=7, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=19, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.8500000000000001);None;;;unknown
