id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
1a253d1f-3c73-4167-9721-ef7ae02c0177;6228;2023-07-02 16:28:22,070046;1.281816005706787;2.203125;(-0.2014229567457979, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
61db0996-4fb0-4a25-a47d-0380cd8ac828;10520;2023-07-02 16:28:22,070046;1.8419647216796875;3.546875;(-0.3628187623962796, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
8e1940f4-e0fb-4aaa-aac0-cc4bc1227491;14332;2023-07-02 16:28:22,069046;1.930995225906372;4.40625;(-0.1629137880134346, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
46fc0ea6-833e-47fa-8440-174785aabdb6;10520;2023-07-02 16:28:23,913011;0.416104793548584;1.234375;(-0.9238462443737578, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
3b2974fa-903b-40d4-9051-8d8f0fab7ce9;14332;2023-07-02 16:28:24,001041;0.4481015205383301;1.0;(-1.0693592359388382, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
40bb0ff9-1dfa-4c4a-85dd-624c78b4ce02;14584;2023-07-02 16:28:22,070046;2.466116428375244;2.46875;(-0.21190169467746914, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
85d3e161-1548-40af-b066-6d44167252c7;14332;2023-07-02 16:28:24,450143;0.19904470443725586;0.65625;(-0.8039932530674309, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);None;;;unknown
52fe6795-b236-4dc9-98d2-5883a32f5c4d;17052;2023-07-02 16:28:22,070046;2.933223009109497;2.9375;(-0.1575331973524578, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
f5b27958-5b65-4dd8-96a7-bde7732ba8d5;14332;2023-07-02 16:28:24,650188;2.2690553665161133;2.90625;(-0.2798629188493409, -3);ExtraTreesClassifier(SelectPercentile(RobustScaler(data), SelectPercentile.percentile=39, SelectPercentile.score_func=f_classif), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.7500000000000001, min_samples_leaf=19, min_samples_split=18, ExtraTreesClassifier.n_estimators=100);None;;;unknown
972fa57b-5b57-4874-bfd7-86cf3cf57b15;18996;2023-07-02 16:28:22,070046;5.182272434234619;7.875;(-0.2508725891417189, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
