id;pid;t_start;t_wallclock;t_process;score;pipeline;error;parent0;parent1;origin
474d6236-3f35-40d0-bc28-3b68ed6296d8;17160;2023-06-27 17:24:21,004467;0.47111940383911133;0.671875;(-0.45585198809763766, -3);LogisticRegression(MaxAbsScaler(StandardScaler(data)), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
0ffe43fb-20f4-44be-a612-fb5de9f60908;17036;2023-06-27 17:24:21,002466;0.7002608776092529;1.359375;(-0.6389363939774928, -2);LogisticRegression(MinMaxScaler(data), LogisticRegression.C=0.5, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
2d1685c3-5dd0-4a0a-9b79-33a56849604f;15368;2023-06-27 17:24:21,003466;0.8683140277862549;1.28125;(-0.45348659953719517, -1);LogisticRegression(data, LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
acc3823f-73f9-401e-bde0-aff080dc7804;14524;2023-06-27 17:24:21,003466;4.629800796508789;5.296875;(-2.4714779558919746, -3);ExtraTreesClassifier(PCA(SelectFwe(data, SelectFwe.alpha=0.03, SelectFwe.score_func=f_classif), PCA.iterated_power=4, PCA.svd_solver='randomized'), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=1, min_samples_split=2, ExtraTreesClassifier.n_estimators=100);None;;;unknown
fe9b35d0-6e56-446d-a484-72e8bfdb2f92;15636;2023-06-27 17:24:21,003466;5.601020097732544;13.25;(-0.527925937431478, -3);LogisticRegression(PolynomialFeatures(RobustScaler(data), PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), LogisticRegression.C=1.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
d2f34dff-006a-4f51-9591-0ab13fd70af8;8820;2023-06-27 17:24:21,004467;5.509000539779663;5.453125;(-0.6981320537018989, -2);GradientBoostingClassifier(Normalizer(data, Normalizer.norm='max'), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=3, GradientBoostingClassifier.max_features=0.5, GradientBoostingClassifier.min_samples_leaf=11, GradientBoostingClassifier.min_samples_split=9, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.05);None;;;unknown
82d62edb-f219-4577-b030-6ec281afe4f9;17036;2023-06-27 17:24:21,703727;5.080800294876099;12.125;(-0.37105630948867724, -3);LogisticRegression(Normalizer(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), Normalizer.norm='max'), LogisticRegression.C=25.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
56638d64-8b20-4f60-b070-ba184cd1d323;8820;2023-06-27 17:24:26,557477;0.7825977802276611;1.6875;(-2.2400566140712423, -2);LogisticRegression(MaxAbsScaler(data), LogisticRegression.C=0.001, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
31d926f7-d16a-43d1-a673-b14ddae8145f;17036;2023-06-27 17:24:26,786692;1.161097526550293;3.125;(-2.7893829056726562, -3);LogisticRegression(RBFSampler(SelectPercentile(data, SelectPercentile.percentile=38, SelectPercentile.score_func=f_classif), RBFSampler.gamma=0.8500000000000001), LogisticRegression.C=20.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
df16a5b7-489a-412a-bf51-6db3cba90447;10872;2023-06-27 17:24:21,003466;9.049072027206421;8.859375;(-0.5792424434566715, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=4, GradientBoostingClassifier.max_features=0.05, GradientBoostingClassifier.min_samples_leaf=12, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.6000000000000001);None;;;unknown
4e9b241f-020a-4948-90c7-ebc630d9ed45;5192;2023-06-27 17:24:21,003466;20.31693434715271;19.984375;(-0.6592542887934059, -2);GradientBoostingClassifier(MaxAbsScaler(data), GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=7, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=19, GradientBoostingClassifier.min_samples_split=12, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=0.8500000000000001);None;;;unknown
58b4dfc6-619a-496a-b442-67dbaab50bd4;5192;2023-06-27 17:24:41,429400;0.2340526580810547;0.40625;(-1.6813911494722888, -2);MultinomialNB(Normalizer(data, Normalizer.norm='max'), alpha=0.1, fit_prior=False);None;;;unknown
7ec0c83d-de09-4287-9039-07921359a94d;10872;2023-06-27 17:24:30,261566;21.649914979934692;21.4375;(-0.648345846539863, -2);ExtraTreesClassifier(PolynomialFeatures(data, PolynomialFeatures.degree=2, PolynomialFeatures.include_bias=False, PolynomialFeatures.interaction_only=False), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.9500000000000001, min_samples_leaf=6, min_samples_split=19, ExtraTreesClassifier.n_estimators=100);None;;;unknown
163d26ef-aaaf-4820-804f-c6b0dd100b82;10872;2023-06-27 17:24:51,946489;1.0727684497833252;1.0625;(-1.005861790671465, -3);ExtraTreesClassifier(SelectPercentile(RobustScaler(data), SelectPercentile.percentile=39, SelectPercentile.score_func=f_classif), ExtraTreesClassifier.bootstrap=True, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.7500000000000001, min_samples_leaf=19, min_samples_split=18, ExtraTreesClassifier.n_estimators=100);None;;;unknown
4e94a19a-d2f3-4cb2-80bc-618e28093b16;17160;2023-06-27 17:24:21,477587;32.10477948188782;31.78125;(-0.9204646399708143, -1);GradientBoostingClassifier(data, GradientBoostingClassifier.learning_rate=0.1, GradientBoostingClassifier.max_depth=9, GradientBoostingClassifier.max_features=0.1, GradientBoostingClassifier.min_samples_leaf=6, GradientBoostingClassifier.min_samples_split=19, GradientBoostingClassifier.n_estimators=100, GradientBoostingClassifier.subsample=1.0);None;;;unknown
f1ed5777-97a4-484e-b329-1f5e65ac6c3b;17160;2023-06-27 17:24:53,867363;0.4616217613220215;1.5625;(-0.5884466127657648, -3);LogisticRegression(SelectFwe(PCA(data, PCA.iterated_power=2, PCA.svd_solver='randomized'), SelectFwe.alpha=0.019, SelectFwe.score_func=f_classif), LogisticRegression.C=15.0, LogisticRegression.dual=False, LogisticRegression.penalty='l2', LogisticRegression.solver='lbfgs');None;;;unknown
df31a159-d8c7-48df-a101-2db54005b26c;17160;2023-06-27 17:24:54,340987;1.0047607421875;4.21875;(-0.9787134734331175, -2);ExtraTreesClassifier(Nystroem(data, Nystroem.gamma=0.4, Nystroem.kernel='linear', Nystroem.n_components=9), ExtraTreesClassifier.bootstrap=False, ExtraTreesClassifier.criterion='entropy', ExtraTreesClassifier.max_features=0.6500000000000001, min_samples_leaf=11, min_samples_split=17, ExtraTreesClassifier.n_estimators=100);None;;;unknown
